C1,sigma,Gain,BW,Power
1.570570523677997e-13,0.999998927116394,-0.0011351123685017228,14340743168.0,0.025081180036067963
1.5755756074820049e-13,0.999998927116394,-0.0014346217503771186,14340605952.0,0.025081293657422066
1.580580555760741e-13,0.999998927116394,-0.0017338203033432364,14340466688.0,0.025081409141421318
1.5855856395647488e-13,0.999998927116394,-0.002035506535321474,14340318208.0,0.025081520900130272
1.590590587843485e-13,0.999998927116394,-0.002333305776119232,14340179968.0,0.025081634521484375
1.5955955361222213e-13,0.999998927116394,-0.0026301713660359383,14340040704.0,0.02508174441754818
1.600600619926229e-13,0.999998927116394,-0.0029289028607308865,14339899392.0,0.02508186176419258
1.6056055682049652e-13,0.999998927116394,-0.0032293456606566906,14339764224.0,0.025081971660256386
1.610610652008973e-13,0.999998927116394,-0.0035263667814433575,14339620864.0,0.025082087144255638
1.6156156002877092e-13,0.999998927116394,-0.0038252542726695538,14339479552.0,0.02508220076560974
1.620620684091717e-13,0.999998927116394,-0.0041250744834542274,14339342336.0,0.025082308799028397
1.6256256323704532e-13,0.999998927116394,-0.004442622885107994,14339450880.0,0.025082223117351532
1.6306305806491894e-13,0.999998927116394,-0.004762659315019846,14339567616.0,0.02508213371038437
1.6356356644531972e-13,0.999998927116394,-0.005072743631899357,14339653632.0,0.025082020089030266
1.6406406127319334e-13,0.999998927116394,-0.005384071730077267,14339737600.0,0.025081899017095566
1.6456456965359412e-13,0.999998927116394,-0.005696021486073732,14339820544.0,0.02508177049458027
1.6506506448146774e-13,0.999998927116394,-0.006007660645991564,14339906560.0,0.025081653147935867
1.6556555930934136e-13,0.999998927116394,-0.006319610867649317,14339991552.0,0.02508152648806572
1.6606606768974214e-13,0.999998927116394,-0.006632182747125626,14340067328.0,0.025081409141421318
1.6656656251761576e-13,0.999998927116394,-0.006944132968783379,14340157440.0,0.02508128434419632
1.6706707089801653e-13,0.999998927116394,-0.007255150005221367,14340237312.0,0.02508116327226162
1.6756756572589016e-13,0.999998927116394,-0.00756710022687912,14340319232.0,0.025081045925617218
1.6806807410629093e-13,0.999998927116394,-0.007879361510276794,14340405248.0,0.02508091740310192
1.6856856893416455e-13,0.999998927116394,-0.008191621862351894,14340487168.0,0.02508079633116722
1.6906906376203817e-13,0.999998927116394,-0.008503572084009647,14340571136.0,0.025080682709813118
1.6956957214243895e-13,0.999998927116394,-0.008813655935227871,14340657152.0,0.02508055791258812
1.7007006697031257e-13,0.999998927116394,-0.009128405712544918,14340739072.0,0.025080431252717972
1.7057057535071335e-13,0.999998927116394,-0.009438800625503063,14340818944.0,0.025080310180783272
1.7107107017858697e-13,0.999998927116394,-0.009753860533237457,14340909056.0,0.025080189108848572
1.715715650064606e-13,0.999998927116394,-0.010063634254038334,14340986880.0,0.02508007176220417
1.7207207338686137e-13,0.999998927116394,-0.010262373834848404,14341076992.0,0.025079932063817978
1.72572568214735e-13,0.9999990463256836,-0.010422858409583569,14341164032.0,0.025079786777496338
1.7307307659513577e-13,0.9999990463256836,-0.010585209354758263,14341244928.0,0.025079641491174698
1.7357357142300939e-13,0.9999990463256836,-0.010744760744273663,14341334016.0,0.025079496204853058
1.7407407980341016e-13,0.9999990463256836,-0.010906489565968513,14341421056.0,0.025079352781176567
1.7457457463128379e-13,0.9999990463256836,-0.011066975072026253,14341510144.0,0.025079213082790375
1.750750694591574e-13,0.9999990463256836,-0.011227459646761417,14341593088.0,0.025079064071178436
1.7557557783955818e-13,0.9999990463256836,-0.011388566344976425,14341677056.0,0.025078918784856796
1.760760726674318e-13,0.9999990463256836,-0.01155091729015112,14341764096.0,0.025078771635890007
1.7657658104783258e-13,0.9999990463256836,-0.011711090803146362,14341848064.0,0.025078628212213516
1.770770758757062e-13,0.9999990463256836,-0.01187219750136137,14341936128.0,0.02507847733795643
1.7757758425610698e-13,0.9999990463256836,-0.012032994069159031,14342013952.0,0.025078345090150833
1.780780790839806e-13,0.9999990463256836,-0.012195033952593803,14342106112.0,0.025078192353248596
1.7857857391185422e-13,0.9999990463256836,-0.012354896403849125,14342196224.0,0.025078047066926956
1.79079082292255e-13,0.9999990463256836,-0.012516936287283897,14342277120.0,0.025077901780605316
1.7957957712012862e-13,0.9999990463256836,-0.012677420862019062,14342363136.0,0.025077763944864273
1.800800855005294e-13,0.9999990463256836,-0.012837594375014305,14342448128.0,0.025077620521187782
1.8058058032840302e-13,0.9999990463256836,-0.013000567443668842,14342529024.0,0.025077471509575844
1.8108107515627664e-13,0.9999990463256836,-0.013161363080143929,14342617088.0,0.0250773336738348
1.8158158353667742e-13,0.9999990463256836,-0.01332215964794159,14342707200.0,0.025077182799577713
1.8208207836455104e-13,0.9999990463256836,-0.013484199531376362,14342789120.0,0.02507704123854637
